region,city,old,title,fio,focus,cati,online,email,website,rating
Волгоградская область,Волгоград,1,"ООО ""Южный исследовательский центр"" / ЦСМИ ""Аналитик""",Токарев Василий Владимирович,1,3,,"belichenko_olga@mail.ru, office@socio-research.ru",http://www.socio-research.ru,7
Санкт-Петербург,Санкт-Петербург,1,"ООО ""Системы информации и связи"" / сервисы Survey-Studio и DEX",Акульшин Максим Владимирович,2,4,,"info@siisltd.ru, maxim.akulshin@siisltd.ru",siisltd.ru,5
Ульяновская область,Ульяновск,1,"ООО ""Поволжский центр социальных исследований ""Перспектива""",Ислюков Сергей Константинович,2,3,,"islyukov@gmail.com, perspect@mail.ru",,7
Новгородская область,Великий Новгород,1,"ООО ""Консультационно-маркетинговый центр""",Добрынская Вера Павловна,2,4,,"info@kmc-redan.ru, vdobrynskaya@kmc-redan.ru",http://kmc-redan.ru,7
Марий Эл Республика,Йошкар-Ола,1,"ООО ""СоциоМаркет"", исследовательский центр",Резник Лада Марковна,1,2,,sociom@inbox.ru,,6
Пензенская область,Пенза,1,"ООО ""Центр социологических и маркетинговых исследований""",Акмайкина Бэлла Анатольевна,1,4,,cmk-penza@sura.ru,,6
Архангельская область,Архангельск,1,"ООО ""Форис-Медиа""",Евсина Наталья Юрьевна,1,3,1,evsina@foris.ru,http://www.foris.ru,7
Тульская область,Тула,1,"ООО ""Информационно-маркетинговый центр ""Статус""",Федорова Светлана Владимировна,2,4,,fedorova_sv@mail.ru,www.ststusinfo.ru,7
Калининградская область,Калининград,1,"ООО ""Научно-исследовательская фирма ""Калининградский социологический центр""",Цыплёнков Сергей Юрьевич,1,4,,sc@39ksc.ru,ksc.ru,7
Пермский край,Пермь,1,"ООО ""Коммерческие Консультации и Исследования""",Немтинова Татьяна Сергеевна,1,4,,research59@yandex.ru,http://www.research59.ru,7
Ростовская область,Ростов-на-Дону,1,"ООО ""Группа компаний ""Бизнес-формат""",Проценко Сергей Николаевич,2,2,,mail@opros-center.info,http://opros-center.info,7
Ставропольский край,Ставрополь,1,"Регион-СК, агентство маркетинговых коммуникаций",Кузьмина Оксана Александровна,1,4,,info@rka-region-sk.ru,http://www.reklamae.ru,5
Удмуртская Республика,Ижевск,1,"ООО ""СМИТ"" / Лаборатория СМИТ",Янковская Ирина Анатольевна,1,4,,izhevsk@smitlab.ru,http://smitlab.ru/,6
Самарская область,Самара,1,"Самарская областная общественная организация ""Фонд социальных исследований""",Нурдинова Людмила Юрьевна,1,3,,zvb@socio-fond.com,http://www.socio-fond.com,7
Ярославская область,Ярославль,1,"ООО ""Компания ""Социс"" / Socis MR Russia",Оглоблин Роман Александрович,1,3,1,julia@socismr.com,http://socismr.com,7
Башкортостан Республика,Уфа,1,"ООО ЦИОМ ""СИМАКС""",Саблин Тимур Витальевич,1,4,1,simaks93@mail.ru,http://www.simaks-smc.ru,6
Татарстан Республика,Казань,1,"ООО ""Агентство исследований и разработок"" / ЦАИР",Коннов Алексей Юрьевич,1,3,,alexkonnov@casd.ru,http://www.tsair.ru,7
Татарстан Республика,Казань,1,"Фонд ""Общественное мнение-Татарстан""",Киселев Александр Николаевич,1,3,,"a.n.kiselev@mail.ru, field@fom-tatarstan.ru",http://fom-tatarstan.ru,5
Чувашская Республика,Чебоксары,1,"Исследовательская компания ""Максима"" / ИП Иванов П.В.",Иванов Павел Вячеславович,2,3,,info@max-cati.ru,http://www.max-research.ru,7
Красноярский край,Красноярск,1,"ООО ""Общественное мнение - Красноярск""",Муратова Ирина Нильевна,1,2,,Irina_Muratova@socium-krasn.ru,http://www.socium-krasn.ru,7
Белгородская область,Белгород,1,"ООО ""Белофон""",Мирошникова Светлана Игоревна,2,3,,CALL@BELOFON.ME,http://belofon.ru/kontakty/,4
Москва,Москва,1,"ООО ""Онлайн Интервьюер""",Федоровский Алексей Михайлович,2,4,1,"alexey@onlineinterviewer.ru, fedorovskis@gmail.com",http://onlineinterviewer.ru/,3
Саратовская область,Саратов,1,"ООО ""Исследовательская компания ""КомСар""",Благодарова Анна Васильевна,1,3,,director@comsar.ru,http://www.comsar.ru,7
Удмуртская Республика,Иркутск,1,SMP Research / ИП Маркова Д.А.,Маркова Дина Александровна,1,4,,field_work@mail.ru,http://smp-irk.ru,7
Томская область,Томск,1,"ООО ""Центр социологических и маркетинговых исследований ""Контекст""",Галашова Наталья Борисовна,1,3,,c-market@list.ru,http://www.contextmarket.ru,7
Воронежская область,Воронеж,1,"ООО ""Институт общественного мнения ""Квалитас""",Романович Александр Леонидович,1,3,,alex@qualitas.ru,http://www.qualitas.ru,7
Алтай Республика,Барнаул,1,"ООО ""Золотая середина Барнаул"" / МИГ ""Маркис""",Скворцов Дмитрий Александрович,1,3,,skvortsovs@mail.ru,http://migmarkis.ru,7
Приморский край,Владивосток,1,"ООО ""Дальневосточный Маркетинговый Центр ""Мониторинг""",Булгакова Анна Александровна,1,5,,a_bulgakova@mail.ru,http://www.monitoring.vl.ru,7
Москва,Москва,1,ИП Чеховская М.Н.,Чеховская Марианна Николаевна,3,4,,mchekhovskaya@yandex.ru,,2
Томская область,Томск,1,"ООО ""М-Ресерч"" / M-Research",Аносова Анастасия Юрьевна,2,3,,"mail@m-research.ru, anosova@m-research.ru",http://www.m-research.ru,7
Беларусь,Минск,1,"ООО ""Центр управленческих решений ""Sarmont""",Сармонт Дарья Сергеевна,1,3,,info@sarmont.by,https://sarmont.by/,1
Свердловская область,Екатеринбург,1,"ООО ""Фонд ""Социум""",Долганов Александр Евгеньевич,1,3,,dolganov@fsocium.ru,http://www.fsocium.ru,6
Монголия,Улан-Батор,1,НКО Оператив,Цэцэнбилэг Цэвээний,2,4,,tsetsenbileg@yahoo.com,,6
Новосибирская область,Новосибирск,1,"ООО ""Центр Маркетинговых Исследований ""ИнфоСкан""",Смелова Анжела Владимировна,1,2,,smelova.anzhela@infoskan.ru,http://www.infoskan.ru,7
Свердловская область,Екатеринбург,1,"ООО ""Компания Грейт"" (Симпл Формс)",Крымский Михаил Израилевич,2,4,,m.krymskiy@greatcom.ru,http://greatcom.ru/,3
Омская область,Омск,,"ООО ""Компания ""Исследования рынка и общественного мнения""",Воловиков Евгений Михайлович,,,,,,1
Омская область,Омск,,UNO Marketing,Лисунец Илья Владимирович,,,,,,3
Красноярский край,Красноярск,,ИП Гаврилина М.А.,Гаврилина Мария Александровна,,,,,,0
Новосибирская область,Новосибирск,,"ООО ""Смартс"" / ИП Лещенко Е.Н.",Лещенко Екатерина Николаевна,,,,,,3
Омская область,Омск,,"ООО ""Гэпицентр-2"" (Центр гуманитарных, социально-экономических и политических исследований-2)",Дрягин Вадим Владиславович,,,,,,7
Саха (Якутия) Республика,Якутск,,"МА ""Константа А""",Константинова Александра Михайловна,,,,,,1
Удмуртская Республика,Иркутск,,ИП Кученкова Н.П.,Кученкова Наталья Петровна,,,,,,3
Красноярский край,Красноярск,,"ООО ""Восточно-Сибирское Региональное Агентство Маркетинговых и Социологических исследований""",Менделеева Татьяна Ивановна,,,,,,4
Кемеровская область (Кузбасс),Новокузнецк,,"АНО ""Информационно-Аналитический Центр""",Бурнышев Константин Владимирович,,,,,,3
Удмуртская Республика,Иркутск,,"Эволюция, ООО, маркетинговый центр",Лашкевич Любовь Сергеевна,,,,,,2
Омская область,Омск,,"ООО ""Омский Маркетинговый центр ""Интервью""",Минеева Татьяна Александровна,,,,,,6
Красноярский край,Красноярск,,"ООО ""Исследовательская компания ""Лидер""",Цибина Наталья Александровна,,,,,,4
Новосибирская область,Новосибирск,,4people / ИП Сысоева А.К.,Сысоева Александра,,,,,,2
Красноярский край,Красноярск,,"ООО ЦСИ ""Мониторинг Общественного Мнения""",Труфанов Дмитрий Олегович,,,,,,0
Красноярский край,Красноярск,,"ООО ""Маркетинг ЛАБ"" / бывший РОМИР-Красноярск",Майстришина Наталья Олеговна,,,,,,6
Алтай Республика,Барнаул,,ИП Розенгрин Н.Б.,Розенгрин Наталья Борисовна,,,,,,0
Томская область,Томск,,"ООО ""Праймар"" / Primemar","Минькова Анна Васильевна, Севрюкова Валентина",,,,,,3
Новосибирская область,Новосибирск,,Центр социологии и маркетинга,Пономарева Татьяна Арнольдовна,,,,,,0
Омская область,Омск,,"ООО ""ВОЙС""",Майстришина Екатерина Николаевна,,,,,,4
Кемеровская область (Кузбасс),Кемерово,,"ООО ""Западно-Сибирский маркетинговый центр ""Эдвайс""",Кузьмина Екатерина Вячеславовна,,,,,,4
Амурская область,Благовещенск,,Амурский исследовательский центр,Кольцова Яна Олеговна,,,,,,2
Удмуртская Республика,Иркутск,,"ООО ""Точка зрения"", маркетинговое агентство",Матюхина Ольга,,,,,,5
Алтай Республика,Барнаул,,"ООО ""Ника""",Костенко Татьяна Сергеевна,,,,,,5
Томская область,Томск,,Кафедра социологии философского факультета ТГУ,Кашпур Виталий Викторович,,,,,,0
Красноярский край,Красноярск,,"ООО АМК ""Шакурова и Партнеры""",Шакурова Галина Анатольевна,,,,,,1
Алтай Республика,Барнаул,,ASBA-консалтинг,Буглакова Евгения Владимировна,,,,,,0
